0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "GET /sports/static/assets/css/app.css HTTP/1.1" 200 25597 8 thd-4 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "GET /sports/static/vendor/jquery/dist/jquery.min.js HTTP/1.1" 200 97168 2 thd-6 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "GET /sports/static/vendor/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 37051 2 thd-4 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "GET /sports/static/vendor/psc/lib/progress.all.min.js HTTP/1.1" 200 271795 3 thd-5 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "GET /sports/static/assets/img/logo.png HTTP/1.1" 200 54380 2 thd-2 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "GET /sports/static/vendor/spark/lib/plugins.js HTTP/1.1" 200 2255 1 thd-3 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:42 +0300] "GET /sports/static/vendor/spark/lib/spark.min.js HTTP/1.1" 200 27121 2 thd-9 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:42 +0300] "GET /sports/static/vendor/jszip/dist/jszip.min.js HTTP/1.1" 200 81504 4 thd-4 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:42 +0300] "GET /sports/static/app/notify.js HTTP/1.1" 200 2305 1 thd-8 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:42 +0300] "GET /sports/static/app/main.js HTTP/1.1" 200 33485 4 thd-7 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:42 +0300] "GET /sports/static/vendor/kendo/js/kendo.all.min.js HTTP/1.1" 200 3112566 190 thd-6 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:42 +0300] "GET /sports/static/assets/fonts/opensans/opensans-webfont.woff HTTP/1.1" 200 21080 1 thd-10 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:42 +0300] "GET /sports/static/vendor/kendo/js/cultures/kendo.culture.en-US.min.js?_=1536319422056 HTTP/1.1" 200 5483 1 thd-5 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:42 +0300] "GET /sports/static/vendor/kendo/js/messages/kendo.messages.en-US.min.js?_=1536319422057 HTTP/1.1" 200 26908 1 thd-2 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:42 +0300] "GET /sports/static/home.html?_ts=153631942-6940121301-1 HTTP/1.1" 200 40 1 thd-3 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:42 +0300] "GET /sports/static/app/common/Password.html HTTP/1.1" 304 - 2 thd-9 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:42 +0300] "GET /sports/static/app/common/Profile.html HTTP/1.1" 200 2012 2 thd-4 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:42 +0300] "GET /sports/static/vendor/kendo/styles/Default/loading-image.gif HTTP/1.1" 200 6138 1 thd-8 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:42 +0300] "GET /sports/static/vendor/kendo/js/kendo.all.min.js.map HTTP/1.1" 200 12689296 197 thd-1 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "GET /sports/web/pdo/common HTTP/1.1" 200 1633 123 thd-7 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "GET /sports/web/pdo/system HTTP/1.1" 200 1808 187 thd-5 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "GET /sports/web/pdo/ordering HTTP/1.1" 200 2448 202 thd-6 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "GET /sports/web/pdo/personnel HTTP/1.1" 200 1228 231 thd-10 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "POST /corticon/execute HTTP/1.1" 403 667 82 thd-2 -
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common.min.css.map HTTP/1.1" 200 87047 2 thd-9 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common-bootstrap.min.css.map HTTP/1.1" 200 88098 6 thd-4 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "GET /sports/static/vendor/kendo/styles/kendo.default.min.css.map HTTP/1.1" 200 21716 1 thd-8 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "GET /sports/static/vendor/bootstrap/dist/css/bootstrap.min.css.map HTTP/1.1" 200 542194 7 thd-1 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "PUT /sports/web/pdo/common/user/session?_ts=153631942-6940121301-2 HTTP/1.1" 200 315 289 thd-3 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "GET /sports/static/assets/js/local.strings.en-US.js?_=1536319422059 HTTP/1.1" 200 619 2 thd-7 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
