0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/vendor/jquery/dist/jquery.min.js HTTP/1.1" 200 97168 3 thd-4 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/assets/css/app.css HTTP/1.1" 200 25597 10 thd-7 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/vendor/kendo/styles/kendo.default.min.css HTTP/1.1" 200 10078 38 thd-9 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common-bootstrap.min.css HTTP/1.1" 200 39284 41 thd-1 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/vendor/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 37051 2 thd-3 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/vendor/psc/lib/progress.all.min.js HTTP/1.1" 200 271795 3 thd-5 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/assets/img/logo.png HTTP/1.1" 200 54380 2 thd-4 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/vendor/spark/lib/plugins.js HTTP/1.1" 200 2255 1 thd-7 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/vendor/spark/lib/spark.min.js HTTP/1.1" 200 27121 3 thd-9 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/vendor/jszip/dist/jszip.min.js HTTP/1.1" 200 81504 2 thd-8 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/app/notify.js HTTP/1.1" 200 2305 1 thd-6 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/app/main.js HTTP/1.1" 200 33485 2 thd-10 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/vendor/kendo/js/kendo.all.min.js HTTP/1.1" 200 3112566 131 thd-2 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "GET /sports/static/assets/fonts/opensans/opensans-webfont.woff HTTP/1.1" 200 21080 2 thd-1 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "GET /sports/static/vendor/kendo/js/cultures/kendo.culture.en-US.min.js?_=1536227511616 HTTP/1.1" 200 5483 2 thd-3 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "GET /sports/static/vendor/kendo/js/messages/kendo.messages.en-US.min.js?_=1536227511617 HTTP/1.1" 200 26908 1 thd-5 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "GET /sports/static/home.html?_ts=153622751-4554789376-1 HTTP/1.1" 200 40 2 thd-4 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "GET /sports/static/app/common/Profile.html HTTP/1.1" 200 2012 3 thd-9 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "GET /sports/static/app/common/Password.html HTTP/1.1" 200 1253 4 thd-7 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "GET /sports/web/pdo/common HTTP/1.1" 200 1633 128 thd-8 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "GET /sports/web/pdo/ordering HTTP/1.1" 200 2448 174 thd-6 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "GET /sports/web/pdo/personnel HTTP/1.1" 200 1228 185 thd-10 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "GET /sports/web/pdo/system HTTP/1.1" 200 1808 186 thd-2 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "POST /corticon/execute HTTP/1.1" 403 667 152 thd-1 -
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "PUT /sports/web/pdo/common/user/session?_ts=153622751-4554789376-2 HTTP/1.1" 200 313 163 thd-3 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "GET /sports/static/assets/js/local.strings.en-US.js?_=1536227511619 HTTP/1.1" 200 619 1 thd-5 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
