0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "GET /sports/static/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 7162 3 thd-4 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "GET /sports/static/assets/css/font.css HTTP/1.1" 200 375 3 thd-4 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "GET /sports/static/vendor/kendo/styles/kendo.default.min.css HTTP/1.1" 200 10078 10 thd-8 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "GET /sports/static/assets/css/icon.css HTTP/1.1" 200 2277 4 thd-4 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common.min.css HTTP/1.1" 200 38603 15 thd-2 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "GET /sports/static/vendor/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 20027 6 thd-8 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common-bootstrap.min.css HTTP/1.1" 200 39284 17 thd-10 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "GET /sports/static/vendor/jquery/dist/jquery.min.js HTTP/1.1" 200 97168 3 thd-10 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "GET /sports/static/assets/css/override.css HTTP/1.1" 200 1471 2 thd-8 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "GET /sports/static/assets/css/app.css HTTP/1.1" 200 25597 10 thd-3 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "GET /sports/static/assets/img/logo.png HTTP/1.1" 200 54380 3 thd-3 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "GET /sports/static/vendor/animate-css/animate.min.css HTTP/1.1" 200 4026 17 thd-4 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "GET /sports/static/vendor/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 37051 3 thd-4 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "GET /sports/static/vendor/psc/lib/progress.all.min.js HTTP/1.1" 200 271795 14 thd-8 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "GET /sports/static/vendor/spark/lib/plugins.js HTTP/1.1" 200 2255 1 thd-3 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:04 +0300] "GET /sports/static/vendor/spark/lib/spark.min.js HTTP/1.1" 200 27121 5 thd-4 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:04 +0300] "GET /sports/static/vendor/jszip/dist/jszip.min.js HTTP/1.1" 200 81504 5 thd-5 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:04 +0300] "GET /sports/static/app/notify.js HTTP/1.1" 200 2305 1 thd-8 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:04 +0300] "GET /sports/static/app/main.js HTTP/1.1" 200 33485 4 thd-1 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
