0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:25 +0300] "GET /sports/static/vendor/jquery/dist/jquery.min.js HTTP/1.1" 200 97168 4 thd-9 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:25 +0300] "GET /sports/static/assets/css/app.css HTTP/1.1" 200 25597 12 thd-2 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:25 +0300] "GET /sports/static/vendor/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 37051 4 thd-10 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:25 +0300] "GET /sports/static/vendor/psc/lib/progress.all.min.js HTTP/1.1" 200 271795 4 thd-7 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:25 +0300] "GET /sports/static/assets/img/logo.png HTTP/1.1" 200 54380 6 thd-7 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:25 +0300] "GET /sports/static/vendor/spark/lib/spark.min.js HTTP/1.1" 200 27121 3 thd-9 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:25 +0300] "GET /sports/static/vendor/kendo/styles/kendo.default.min.css HTTP/1.1" 200 10078 96 thd-5 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:25 +0300] "GET /sports/static/vendor/kendo/js/kendo.all.min.js HTTP/1.1" 200 3112566 106 thd-1 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:25 +0300] "GET /sports/static/vendor/jszip/dist/jszip.min.js HTTP/1.1" 200 81504 81 thd-8 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:25 +0300] "GET /sports/static/app/main.js HTTP/1.1" 200 33485 46 thd-6 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:26 +0300] "GET /sports/static/assets/fonts/opensans/opensans-webfont.woff HTTP/1.1" 200 21080 2 thd-3 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
